Level,Date and Time,Source,Event ID,Task Category,User,Log,Keywords,Operational Code,Computer,Process ID,Thread ID,Processor ID,Session ID,Kernel Time,User Time,Processor Time,Correlation Id,Relative Correlation Id,Event Source Name
Information,1/3/2022 7:30:12 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process terminated:
RuleName: -
UtcTime: 2022-01-04 00:30:12.162
ProcessGuid: {ec47ca29-950e-61d3-7f04-000000008600}
ProcessId: 14340
Image: C:\Program Files\Microsoft OneDrive\21.230.1107.0004\FileCoAuth.exe
User: DESKTOP-JP20VPR\BobWe"
Information,1/3/2022 7:30:06 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process Create:
RuleName: -
UtcTime: 2022-01-04 00:30:06.038
ProcessGuid: {ec47ca29-950e-61d3-7f04-000000008600}
ProcessId: 14340
Image: C:\Program Files\Microsoft OneDrive\21.230.1107.0004\FileCoAuth.exe
FileVersion: 21.230.1107.0004
Description: Microsoft OneDriveFile Co-Authoring Executable
Product: Microsoft OneDrive
Company: Microsoft Corporation
OriginalFileName: FileCoAuth.exe
CommandLine: ""C:\Program Files\Microsoft OneDrive\21.230.1107.0004\FileCoAuth.exe"" -Embedding
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-JP20VPR\BobWe
LogonGuid: {ec47ca29-70bf-61d3-7aae-020000000000}
LogonId: 0x2AE7A
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA256=65FA9EA7161AECA034301CAD4A237A939F95561CC41EF5E2388645FF9CCFB65C
ParentProcessGuid: {ec47ca29-70be-61d3-0d00-000000008600}
ParentProcessId: 1056
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch -p
ParentUser: NT AUTHORITY\SYSTEM"
Information,1/3/2022 7:29:57 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process terminated:
RuleName: -
UtcTime: 2022-01-04 00:29:57.415
ProcessGuid: {ec47ca29-94f9-61d3-7d04-000000008600}
ProcessId: 10840
Image: C:\Windows\System32\svchost.exe
User: DESKTOP-JP20VPR\BobWe"
Information,1/3/2022 7:29:50 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process terminated:
RuleName: -
UtcTime: 2022-01-04 00:29:50.503
ProcessGuid: {ec47ca29-92da-61d3-7304-000000008600}
ProcessId: 16900
Image: C:\Program Files (x86)\Steam\GameOverlayUI.exe
User: DESKTOP-JP20VPR\BobWe"
Information,1/3/2022 7:29:50 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process terminated:
RuleName: -
UtcTime: 2022-01-04 00:29:50.375
ProcessGuid: {ec47ca29-92db-61d3-7404-000000008600}
ProcessId: 3908
Image: C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe
User: DESKTOP-JP20VPR\BobWe"
Information,1/3/2022 7:29:49 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process terminated:
RuleName: -
UtcTime: 2022-01-04 00:29:49.488
ProcessGuid: {ec47ca29-92bb-61d3-6e04-000000008600}
ProcessId: 17484
Image: D:\Program Files (x86)\steamapps\common\MicrosoftFlightSimulator\FlightSimulator.exe
User: DESKTOP-JP20VPR\BobWe"
Information,1/3/2022 7:29:48 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process terminated:
RuleName: -
UtcTime: 2022-01-04 00:29:48.514
ProcessGuid: {ec47ca29-92d9-61d3-7204-000000008600}
ProcessId: 9464
Image: C:\Windows\System32\GameBarPresenceWriter.exe
User: DESKTOP-JP20VPR\BobWe"
Information,1/3/2022 7:29:45 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process Create:
RuleName: -
UtcTime: 2022-01-04 00:29:45.346
ProcessGuid: {ec47ca29-94f9-61d3-7e04-000000008600}
ProcessId: 6124
Image: C:\Windows\System32\backgroundTaskHost.exe
FileVersion: 10.0.19041.546 (WinBuild.160101.0800)
Description: Background Task Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: backgroundTaskHost.exe
CommandLine: ""C:\Windows\system32\backgroundTaskHost.exe"" -ServerName:ShellFeedsUI.AppXnj65k2d1a1rnztt2t2nng5ctmk3e76pn.mca
CurrentDirectory: C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\
User: DESKTOP-JP20VPR\BobWe
LogonGuid: {ec47ca29-70bf-61d3-9db4-020000000000}
LogonId: 0x2B49D
TerminalSessionId: 1
IntegrityLevel: AppContainer
Hashes: SHA256=20330D3CA71D58F4AEB432676CB6A3D5B97005954E45132FB083E90782EFDD50
ParentProcessGuid: {ec47ca29-70be-61d3-0d00-000000008600}
ParentProcessId: 1056
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch -p
ParentUser: NT AUTHORITY\SYSTEM"
Information,1/3/2022 7:29:45 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process Create:
RuleName: -
UtcTime: 2022-01-04 00:29:45.344
ProcessGuid: {ec47ca29-94f9-61d3-7d04-000000008600}
ProcessId: 10840
Image: C:\Windows\System32\svchost.exe
FileVersion: 10.0.19041.546 (WinBuild.160101.0800)
Description: Host Process for Windows Services
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: svchost.exe
CommandLine: C:\Windows\system32\svchost.exe -k BcastDVRUserService -s BcastDVRUserService
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-JP20VPR\BobWe
LogonGuid: {ec47ca29-70bf-61d3-9db4-020000000000}
LogonId: 0x2B49D
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=643EC58E82E0272C97C2A59F6020970D881AF19C0AD5029DB9C958C13B6558C7
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 944
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,1/3/2022 7:29:23 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),S-1-5-18,Microsoft-Windows-Sysmon/Operational,,Info,DESKTOP-JP20VPR,14108,3560,,,,,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,"Process terminated:
RuleName: -
UtcTime: 2022-01-04 00:29:23.835
ProcessGuid: {ec47ca29-93f3-61d3-7704-000000008600}
ProcessId: 6868
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
