Level	Date and Time	Source	Event ID	Task Category	User	Log	Keywords	Operational Code	Computer	Process ID	Thread ID	Processor ID	Session ID	Kernel Time	User Time	Processor Time	Correlation Id	Relative Correlation Id	Event Source Name
Information	1/4/2022 2:56:42 PM	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process terminated:
RuleName: -
UtcTime: 2022-01-04 19:56:42.685
ProcessGuid: {ec47ca29-a48b-61d4-e50a-000000008600}
ProcessId: 20044
Image: C:\Windows\System32\smartscreen.exe
User: DESKTOP-JP20VPR\BobWe"
Information	1/4/2022 2:56:17 PM	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process terminated:
RuleName: -
UtcTime: 2022-01-04 19:56:17.862
ProcessGuid: {ec47ca29-a65b-61d4-190b-000000008600}
ProcessId: 12888
Image: C:\Program Files\Microsoft OneDrive\21.230.1107.0004\FileCoAuth.exe
User: DESKTOP-JP20VPR\BobWe"
Information	1/4/2022 2:56:12 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process Create:
RuleName: -
UtcTime: 2022-01-04 19:56:12.634
ProcessGuid: {ec47ca29-a65c-61d4-1b0b-000000008600}
ProcessId: 8920
Image: C:\Windows\System32\SearchFilterHost.exe
FileVersion: 7.0.19041.1387 (WinBuild.160101.0800)
Description: Microsoft Windows Search Filter Host
Product: Windows® Search
Company: Microsoft Corporation
OriginalFileName: SearchFilterHost.exe
CommandLine: ""C:\Windows\system32\SearchFilterHost.exe"" 0 820 824 832 8192 828 800 
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {ec47ca29-70be-61d3-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: Medium
Hashes: SHA256=47A88BCFAC10FCA3E1F3C3920327FBE16C2B41B0E3489233C1E087AE0F85A02E
ParentProcessGuid: {ec47ca29-70c3-61d3-8300-000000008600}
ParentProcessId: 6936
ParentImage: C:\Windows\System32\SearchIndexer.exe
ParentCommandLine: C:\Windows\system32\SearchIndexer.exe /Embedding
ParentUser: NT AUTHORITY\SYSTEM"
Information	1/4/2022 2:56:12 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process Create:
RuleName: -
UtcTime: 2022-01-04 19:56:12.605
ProcessGuid: {ec47ca29-a65c-61d4-1a0b-000000008600}
ProcessId: 19472
Image: C:\Windows\System32\SearchProtocolHost.exe
FileVersion: 7.0.19041.1387 (WinBuild.160101.0800)
Description: Microsoft Windows Search Protocol Host
Product: Windows® Search
Company: Microsoft Corporation
OriginalFileName: SearchProtocolHost.exe
CommandLine: ""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe21_ Global\UsGthrCtrlFltPipeMssGthrPipe21 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" 
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {ec47ca29-70be-61d3-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=90F7291A0E1F0095CF145CC92294856DBFD78D7F1EE33C2D64C09ED95AA4F5D1
ParentProcessGuid: {ec47ca29-70c3-61d3-8300-000000008600}
ParentProcessId: 6936
ParentImage: C:\Windows\System32\SearchIndexer.exe
ParentCommandLine: C:\Windows\system32\SearchIndexer.exe /Embedding
ParentUser: NT AUTHORITY\SYSTEM"
Information	1/4/2022 2:56:11 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process Create:
RuleName: -
UtcTime: 2022-01-04 19:56:11.681
ProcessGuid: {ec47ca29-a65b-61d4-190b-000000008600}
ProcessId: 12888
Image: C:\Program Files\Microsoft OneDrive\21.230.1107.0004\FileCoAuth.exe
FileVersion: 21.230.1107.0004
Description: Microsoft OneDriveFile Co-Authoring Executable
Product: Microsoft OneDrive
Company: Microsoft Corporation
OriginalFileName: FileCoAuth.exe
CommandLine: ""C:\Program Files\Microsoft OneDrive\21.230.1107.0004\FileCoAuth.exe"" -Embedding
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-JP20VPR\BobWe
LogonGuid: {ec47ca29-70bf-61d3-7aae-020000000000}
LogonId: 0x2AE7A
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA256=65FA9EA7161AECA034301CAD4A237A939F95561CC41EF5E2388645FF9CCFB65C
ParentProcessGuid: {ec47ca29-70be-61d3-0d00-000000008600}
ParentProcessId: 1056
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch -p
ParentUser: NT AUTHORITY\SYSTEM"
Information	1/4/2022 2:56:11 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process Create:
RuleName: -
UtcTime: 2022-01-04 19:56:11.677
ProcessGuid: {ec47ca29-a65b-61d4-180b-000000008600}
ProcessId: 20920
Image: C:\Program Files\Google\Drive File Stream\54.0.2.0\crashpad_handler.exe
FileVersion: -
Description: -
Product: -
Company: -
OriginalFileName: -
CommandLine: ""C:\Program Files\Google\Drive File Stream\54.0.2.0\crashpad_handler.exe"" --database=C:\Users\BobWe\AppData\Local\Google\DriveFS\Crashpad --url=https://clients2.google.com/cr/report --annotation=application=mmc.exe --annotation=prod=DriveFS --annotation=ver=54.0.2.0 --initial-client-data=0x100c,0x109c,0x1034,0x101c,0x10a8,0x7ff837690960,0x7ff837690970,0x7ff837690980
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-JP20VPR\BobWe
LogonGuid: {ec47ca29-70bf-61d3-7aae-020000000000}
LogonId: 0x2AE7A
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA256=332E51B73959544162E707B79073FDD0561C251E49E4F3AAC20315D34299BD20
ParentProcessGuid: {ec47ca29-824f-61d4-2909-000000008600}
ParentProcessId: 7240
ParentImage: C:\Windows\System32\mmc.exe
ParentCommandLine: ""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\eventvwr.msc"" /s
ParentUser: DESKTOP-JP20VPR\BobWe"
Information	1/4/2022 2:55:33 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process Create:
RuleName: -
UtcTime: 2022-01-04 19:55:33.416
ProcessGuid: {ec47ca29-a635-61d4-170b-000000008600}
ProcessId: 20356
Image: C:\Windows\System32\svchost.exe
FileVersion: 10.0.19041.546 (WinBuild.160101.0800)
Description: Host Process for Windows Services
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: svchost.exe
CommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p -s wlidsvc
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {ec47ca29-70be-61d3-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=643EC58E82E0272C97C2A59F6020970D881AF19C0AD5029DB9C958C13B6558C7
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 944
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information	1/4/2022 2:55:22 PM	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process terminated:
RuleName: -
UtcTime: 2022-01-04 19:55:22.104
ProcessGuid: {ec47ca29-a62a-61d4-160b-000000008600}
ProcessId: 6532
Image: C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_d385bdc0d33d66f9\ASUSSoftwareManager\AsusUpdateChecker.exe
User: DESKTOP-JP20VPR\BobWe"
Information	1/4/2022 2:55:22 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process Create:
RuleName: -
UtcTime: 2022-01-04 19:55:22.048
ProcessGuid: {ec47ca29-a62a-61d4-160b-000000008600}
ProcessId: 6532
Image: C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_d385bdc0d33d66f9\ASUSSoftwareManager\AsusUpdateChecker.exe
FileVersion: 1.0.28.0
Description: ASUS Update Checker
Product: ASUS Update Checker
Company: ASUSTeK COMPUTER INC.
OriginalFileName: AsusUpdateChecker.exe
CommandLine: C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_d385bdc0d33d66f9\ASUSSoftwareManager\AsusUpdateChecker.exe
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-JP20VPR\BobWe
LogonGuid: {ec47ca29-70bf-61d3-7aae-020000000000}
LogonId: 0x2AE7A
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA256=250D981BEC690B039CCF40941E6555FCA7A8C997AC6975E00BD3C35300498E7C
ParentProcessGuid: {ec47ca29-70bf-61d3-1c00-000000008600}
ParentProcessId: 1716
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
ParentUser: NT AUTHORITY\SYSTEM"
Information	1/4/2022 2:53:35 PM	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	S-1-5-18	Microsoft-Windows-Sysmon/Operational		Info	DESKTOP-JP20VPR	14108	3560						00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		"Process terminated:
RuleName: -
UtcTime: 2022-01-04 19:53:35.725
ProcessGuid: {ec47ca29-a563-61d4-100b-000000008600}
ProcessId: 14828
Image: C:\Windows\System32\GameBarPresenceWriter.exe
User: DESKTOP-JP20VPR\BobWe"
